station_id,capacity,station_code,station_name,lcd_racks,qr_racks,operation_type,capacity_source
ST-997,18,726.0, 목동3단지 시내버스정류장,18.0,,LCD,seoul_open_data
ST-996,15,725.0, 양강중학교앞 교차로,15.0,,LCD,seoul_open_data
ST-995,10,724.0, 계남공원 입구 주출입구 좌측,10.0,,LCD,seoul_open_data
ST-994,15,723.0, SBS방송국,15.0,,LCD,seoul_open_data
ST-993,10,722.0, 경서농협 버스정류장(우리은행신정동지점방향),10.0,,LCD,seoul_open_data
ST-992,10,426.0, 서울신용보증재단,10.0,,LCD,seoul_open_data
ST-991,10,425.0, DMC첨단산업센터,10.0,,LCD,seoul_open_data
ST-990,15,424.0, 롯데하이마트 (상암월드컵점),15.0,,LCD,seoul_open_data
ST-99,33,502.0, 뚝섬유원지역 1번출구 앞,,33.0,QR,seoul_open_data
ST-988,12,3505.0, 신양초교앞 교차로,12.0,,LCD,seoul_open_data
ST-987,8,3504.0, 원일교회,8.0,,LCD,seoul_open_data
ST-986,14,3503.0, 광진유진스웰,14.0,,LCD,seoul_open_data
ST-985,18,3502.0, 중곡역 1번출구,,18.0,QR,seoul_open_data
ST-984,10,3501.0, 광진구청 앞,10.0,,LCD,seoul_open_data
ST-983,7,3500.0, 군자역2번출구,7.0,,LCD,seoul_open_data
ST-982,20,,,,,,fallback_20
ST-981,10,1250.0,문정2동 주민센터,10.0,,LCD,seoul_open_data
ST-980,8,593.0,자양중앙나들목,,8.0,QR,seoul_open_data
ST-98,30,501.0, 광진구의회 앞,,30.0,QR,seoul_open_data
ST-979,8,451.0, 청와대앞길,8.0,,LCD,seoul_open_data
ST-978,51,450.0, 효자동 삼거리,,51.0,QR,seoul_open_data
ST-977,8,391.0, 시립미술관,,8.0,QR,seoul_open_data
ST-976,8,2136.0, 신림역 8번출구,8.0,,LCD,seoul_open_data
ST-975,13,1149.0, 신방화역환승주차장,13.0,,LCD,seoul_open_data
ST-974,30,592.0, 건국대학교 학생회관,30.0,,LCD,seoul_open_data
ST-973,5,591.0, 건국대학교 (행정관),5.0,,LCD,seoul_open_data
ST-972,20,590.0, 건국대학교 (입학정보관),20.0,,LCD,seoul_open_data
ST-971,9,1640.0, 한내근린공원 북측,,9.0,QR,seoul_open_data
ST-970,20,,,,,,fallback_20
ST-97,7,500.0, 어린이대공원역 3번출구 앞,,7.0,QR,seoul_open_data
ST-969,20,,,,,,fallback_20
ST-968,9,422.0, 문화비축기지,,9.0,QR,seoul_open_data
ST-967,15,594.0, 중랑물재생센터(서울새활용플라자),15.0,,LCD,seoul_open_data
ST-966,10,2357.0, 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),10.0,,LCD,seoul_open_data
ST-965,10,2111.0, 서울대입구역 1번출구,,10.0,QR,seoul_open_data
ST-964,7,1642.0, 서울여대 남문,7.0,,LCD,seoul_open_data
ST-963,10,2353.0, 강남구청역 2번출구 뒤,10.0,,LCD,seoul_open_data
ST-962,6,2352.0, 서울본부세관(건설회관 앞),6.0,,LCD,seoul_open_data
ST-961,11,2347.0, 두산건설 본사,11.0,,LCD,seoul_open_data
ST-960,9,2350.0, 래미안그레이튼102동앞,9.0,,LCD,seoul_open_data
ST-96,12,416.0, 상암월드컵파크 1단지 교차로,,12.0,QR,seoul_open_data
ST-959,12,2349.0, 역삼빌딩 앞(하나은행 옆),12.0,,LCD,seoul_open_data
ST-958,10,2359.0," 국립국악중,고교 정문 맞은편",10.0,,LCD,seoul_open_data
ST-957,7,2358.0, 구룡초사거리 (현대아파트10동 앞 ),7.0,,LCD,seoul_open_data
ST-956,9,2360.0, 도곡1동 주민센터 교차로,9.0,,LCD,seoul_open_data
ST-955,20,,,,,,fallback_20
