district,algorithm,baseline,best_reward,final_reward,best_delta,final_delta,best_ep,n_eval
강남구,A2C,-689.9189997272177,-639.3470021197803,-639.3470021197803,50.571997607437424,50.571997607437424,50,11
강남구,REINFORCE,-689.9189997272177,-695.5722897172578,-728.6186422886328,-5.6532899900400935,-38.69964256141509,100,11
강동구,A2C,-615.1820013057394,-577.8114159657605,-587.0811233908869,37.3705853399789,28.100877914852504,1,11
강동구,REINFORCE,-615.1820013057394,-614.4543200763629,-653.3859824546877,0.7276812293764578,-38.20398114894829,100,11
강북구,A2C,-24.03797954734227,-26.729517048669095,-30.39654911169517,-2.691537501326824,-6.358569564352898,50,11
강북구,REINFORCE,-24.03797954734227,-26.729517048669095,-26.729517048669095,-2.691537501326824,-2.691537501326824,350,11
강서구,A2C,-4172.860752588825,-4118.999765330963,-4118.999765330963,53.86098725786178,53.86098725786178,50,11
강서구,REINFORCE,-4172.860752588825,-4243.509147962214,-4289.464512524589,-70.64839537338958,-116.60375993576417,150,11
관악구,A2C,-147.7516989065617,-186.55309289084175,-188.16295888912032,-38.801393984280054,-40.41125998255862,400,11
관악구,REINFORCE,-147.7516989065617,-188.16295888912032,-188.16295888912032,-40.41125998255862,-40.41125998255862,100,11
광진구,A2C,-896.5483070293686,-882.314196809775,-882.314196809775,14.234110219593617,14.234110219593617,100,11
광진구,REINFORCE,-896.5483070293686,-882.314196809775,-1193.7210595233062,14.234110219593617,-297.17275249393754,100,11
구로구,A2C,-1037.6205874568702,-999.7130541778506,-1059.5219166842974,37.90753327901962,-21.90132922742714,50,11
구로구,REINFORCE,-1037.6205874568702,-1128.603941010938,-1144.7492404402617,-90.98335355406766,-107.12865298339148,100,11
금천구,A2C,-436.01908516184176,-425.99314919188066,-425.99314919188066,10.025935969961097,10.025935969961097,200,11
금천구,REINFORCE,-436.01908516184176,-477.86453632182156,-477.86453632182156,-41.8454511599798,-41.8454511599798,500,11
노원구,A2C,-720.8289091557399,-648.8737525827054,-656.5189101739634,71.95515657303451,64.30999898177652,50,11
노원구,REINFORCE,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,50,11
도봉구,A2C,-149.1146538094342,-156.99184910047188,-156.99184910047188,-7.87719529103768,-7.87719529103768,50,11
도봉구,REINFORCE,-149.1146538094342,-196.75802543028877,-196.75802543028877,-47.643371620854566,-47.643371620854566,150,11
동대문구,A2C,-541.2525260036907,-513.9342150718187,-513.9342150718187,27.31831093187202,27.31831093187202,50,11
동대문구,REINFORCE,-541.2525260036907,-512.4946971080511,-513.9342150718187,28.75782889563959,27.31831093187202,150,11
동작구,A2C,-225.22167679077083,-227.5687577231632,-228.0993901684565,-2.347080932392373,-2.877713377685666,100,11
동작구,REINFORCE,-225.22167679077083,-235.48614051861955,-281.32731516686624,-10.264463727848721,-56.10563837609541,300,11
마포구,A2C,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,50,11
마포구,REINFORCE,-911.8044514780717,-826.2242526020233,-915.8645816094566,85.58019887604837,-4.0601301313849945,400,11
서대문구,A2C,-204.04072689372015,-219.08358960997887,-219.28709236305124,-15.042862716258725,-15.246365469331096,50,11
서대문구,REINFORCE,-204.04072689372015,-235.678305611993,-258.8930920947903,-31.637578718272863,-54.85236520107014,1,11
서초구,A2C,-349.6832361670017,-310.36565738081543,-310.36565738081543,39.31757878618629,39.31757878618629,500,11
서초구,REINFORCE,-349.6832361670017,-310.36565738081543,-310.36565738081543,39.31757878618629,39.31757878618629,450,11
성동구,A2C,-975.0666342545583,-927.7498984225706,-950.4392622347326,47.31673583198767,24.627372019825657,150,11
성동구,REINFORCE,-975.0666342545583,-1009.1450988870122,-1034.1653039581045,-34.078464632453915,-59.09866970354619,50,11
성북구,A2C,-205.318536267527,-214.96604302228732,-214.96604302228732,-9.647506754760315,-9.647506754760315,100,11
성북구,REINFORCE,-205.318536267527,-213.10123653352161,-246.97351309477304,-7.782700265994606,-41.65497682724603,250,11
송파구,A2C,-2115.665714871628,-2053.4242902035944,-2053.4242902035944,62.24142466803369,62.24142466803369,50,11
송파구,REINFORCE,-2115.665714871628,-2052.208584110894,-2053.4242902035944,63.45713076073389,62.24142466803369,1,11
양천구,A2C,-1789.449819924635,-1760.4239793151828,-1760.4239793151828,29.02584060945219,29.02584060945219,50,11
양천구,REINFORCE,-1789.449819924635,-1717.8798803695367,-1753.7270196645616,71.56993955509824,35.72280026007343,100,11
영등포구,A2C,-3139.0850062866525,-3062.536839761483,-3251.999941969096,76.54816652516956,-112.91493568244368,1,11
영등포구,REINFORCE,-3139.0850062866525,-3166.5543855072224,-3192.7310286019324,-27.469379220569863,-53.64602231527988,1,11
용산구,A2C,-163.1519503071857,-146.16647407008253,-146.16647407008253,16.98547623710317,16.98547623710317,250,11
용산구,REINFORCE,-163.1519503071857,-146.16647407008253,-146.16647407008253,16.98547623710317,16.98547623710317,200,11
은평구,A2C,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,50,11
은평구,REINFORCE,-283.1632995730515,-290.11683773404235,-373.1642479098526,-6.953538160990831,-90.00094833680106,250,11
종로구,A2C,-516.7614769675259,-498.27043839019126,-498.27043839019126,18.491038577334677,18.491038577334677,100,11
종로구,REINFORCE,-516.7614769675259,-548.5005237258173,-548.5005237258173,-31.73904675829135,-31.73904675829135,200,11
중구,A2C,-380.1154755818949,-366.14587297960344,-366.14587297960344,13.969602602291445,13.969602602291445,100,11
중구,REINFORCE,-380.1154755818949,-449.00909751348337,-480.5682461714118,-68.89362193158848,-100.45277058951689,50,11
중랑구,A2C,-322.6771812648181,-305.99439615275696,-305.99439615275696,16.68278511206114,16.68278511206114,100,11
중랑구,REINFORCE,-322.6771812648181,-305.99439615275696,-305.99439615275696,16.68278511206114,16.68278511206114,500,11
