district,status,baseline,best,final,best_delta,final_delta,best_step,final_step,n_eval,history
강남구,ok,-531.69,-546.9078956579882,-576.1070791946859,-15.217895657988151,-44.41707919468581,60000.0,170000.0,9,logs/dqn_interactive_dqn_강남구/history.npy
강동구,ok,-662.9,-668.0205041761973,-716.9424113115285,-5.120504176197301,-54.042411311528554,140000.0,170000.0,9,logs/dqn_interactive_dqn_강동구/history.npy
강북구,ok,-35.24,-41.66213013897523,-42.87423701975588,-6.422130138975227,-7.634237019755879,80000.0,170000.0,9,logs/dqn_interactive_dqn_강북구/history.npy
강서구,ok,-3549.03,-3607.4366236973665,-3763.8547362706045,-58.406623697366285,-214.82473627060426,40000.0,170000.0,9,logs/dqn_interactive_dqn_강서구/history.npy
관악구,ok,-143.52,-187.21559885206742,-187.21559885206742,-43.695598852067405,-43.695598852067405,170000.0,170000.0,9,logs/dqn_interactive_dqn_관악구/history.npy
광진구,ok,-899.53,-927.3437014480935,-964.6195021585897,-27.813701448093525,-65.08950215858977,40000.0,170000.0,9,logs/dqn_interactive_dqn_광진구/history.npy
구로구,ok,-847.08,-873.6450028405231,-888.0212979623582,-26.565002840523107,-40.941297962358135,40000.0,170000.0,9,logs/dqn_interactive_dqn_구로구/history.npy
금천구,ok,-357.09,-368.8248982143755,-385.6327097630473,-11.734898214375505,-28.5427097630473,140000.0,170000.0,9,logs/dqn_interactive_dqn_금천구/history.npy
노원구,ok,-800.31,-815.5279298191081,-849.4836536370434,-15.217929819108122,-49.17365363704346,40000.0,170000.0,9,logs/dqn_interactive_dqn_노원구/history.npy
도봉구,ok,-124.93,-157.15129995323514,-157.15129995323514,-32.22129995323513,-32.22129995323513,170000.0,170000.0,9,logs/dqn_interactive_dqn_도봉구/history.npy
동대문구,ok,-473.82,-490.319769384279,-493.8543885925939,-16.499769384279034,-20.034388592593928,80000.0,170000.0,9,logs/dqn_interactive_dqn_동대문구/history.npy
동작구,ok,-173.98,-192.46345368845408,-203.62501750929277,-18.48345368845409,-29.645017509292785,140000.0,170000.0,9,logs/dqn_interactive_dqn_동작구/history.npy
마포구,ok,-760.25,-787.9099410348899,-842.1656471151927,-27.659941034889926,-81.91564711519266,40000.0,170000.0,9,logs/dqn_interactive_dqn_마포구/history.npy
서대문구,ok,-191.43,-216.79607975542035,-222.88370376821396,-25.366079755420344,-31.453703768213956,80000.0,170000.0,9,logs/dqn_interactive_dqn_서대문구/history.npy
서초구,ok,-288.84,-299.8064241514767,-316.910600345558,-10.966424151476701,-28.070600345558034,20000.0,170000.0,9,logs/dqn_interactive_dqn_서초구/history.npy
성동구,ok,-863.68,-879.2898773636881,-901.6818858249852,-15.609877363688156,-38.001885824985266,120000.0,170000.0,9,logs/dqn_interactive_dqn_성동구/history.npy
성북구,ok,-154.26,-174.16885906247168,-174.16885906247168,-19.90885906247169,-19.90885906247169,170000.0,170000.0,9,logs/dqn_interactive_dqn_성북구/history.npy
송파구,ok,-1988.42,-2009.4223361373479,-2105.980553226847,-21.00233613734781,-117.56055322684688,40000.0,170000.0,9,logs/dqn_interactive_dqn_송파구/history.npy
양천구,ok,-1511.21,-1486.2996848202736,-1566.6647037942566,24.910315179726467,-55.4547037942566,60000.0,170000.0,9,logs/dqn_interactive_dqn_양천구/history.npy
영등포구,ok,-2440.1,-2418.6814361340303,-2484.2461665038322,21.418563865969645,-44.14616650383232,20000.0,170000.0,9,logs/dqn_interactive_dqn_영등포구/history.npy
용산구,ok,-104.37,-106.5712740442309,-119.35902854623919,-2.2012740442308996,-14.989028546239183,160000.0,170000.0,9,logs/dqn_interactive_dqn_용산구/history.npy
은평구,ok,-241.77,-292.3505948280741,-313.22572127615507,-50.58059482807411,-71.45572127615506,20000.0,170000.0,9,logs/dqn_interactive_dqn_은평구/history.npy
종로구,ok,-371.95,-399.773581357646,-426.1153296927686,-27.823581357645992,-54.16532969276864,40000.0,170000.0,9,logs/dqn_interactive_dqn_종로구/history.npy
중구,ok,-244.27,-268.26927829850314,-271.97420288777374,-23.99927829850313,-27.704202887773732,40000.0,170000.0,9,logs/dqn_interactive_dqn_중구/history.npy
중랑구,ok,-301.3,-323.1338873947037,-335.7924491062743,-21.83388739470371,-34.49244910627431,80000.0,170000.0,9,logs/dqn_interactive_dqn_중랑구/history.npy
