district,baseline,topk12_best,topk12_final,topk12_best_delta,topk12_final_delta,topk6_best,topk6_final,topk6_best_delta,topk6_final_delta,topk6_best_ep,best_delta_gain_vs_k12,final_delta_gain_vs_k12
강남구,-689.9189997272177,-639.3470021197803,-639.3470021197803,50.571997607437424,50.571997607437424,-639.3470021197803,-665.5455576670848,50.571997607437424,24.373442060132902,50,0.0,-26.198555547304522
강동구,-615.1820013057394,-577.8114159657605,-587.0811233908869,37.3705853399789,28.100877914852504,-587.0811233908869,-587.0811233908869,28.100877914852504,28.100877914852504,50,-9.269707425126398,0.0
강북구,-24.03797954734227,-26.729517048669095,-30.39654911169517,-2.691537501326824,-6.358569564352898,-26.729517048669095,-26.729517048669095,-2.691537501326824,-2.691537501326824,50,0.0,3.667032063026074
강서구,-4172.860752588825,-4118.999765330963,-4118.999765330963,53.86098725786178,53.86098725786178,-4118.999765330963,-4118.999765330963,53.86098725786178,53.86098725786178,50,0.0,0.0
관악구,-147.7516989065617,-186.55309289084175,-188.16295888912032,-38.801393984280054,-40.41125998255862,-188.16295888912032,-188.16295888912032,-40.41125998255862,-40.41125998255862,200,-1.6098659982785648,0.0
광진구,-896.5483070293686,-882.314196809775,-882.314196809775,14.234110219593617,14.234110219593617,-882.314196809775,-882.314196809775,14.234110219593617,14.234110219593617,50,0.0,0.0
구로구,-1037.6205874568702,-999.7130541778506,-1059.5219166842974,37.90753327901962,-21.90132922742714,-1059.9149042142458,-1059.9149042142458,-22.294316757375555,-22.294316757375555,500,-60.20185003639517,-0.3929875299484138
금천구,-436.01908516184176,-425.99314919188066,-425.99314919188066,10.025935969961097,10.025935969961097,-425.99314919188066,-425.99314919188066,10.025935969961097,10.025935969961097,50,0.0,0.0
노원구,-720.8289091557399,-648.8737525827054,-656.5189101739634,71.95515657303451,64.30999898177652,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,50,0.0,7.645157591257998
도봉구,-149.1146538094342,-156.99184910047188,-156.99184910047188,-7.87719529103768,-7.87719529103768,-156.99184910047188,-164.32066153439055,-7.87719529103768,-15.20600772495635,50,0.0,-7.328812433918671
동대문구,-541.2525260036907,-513.9342150718187,-513.9342150718187,27.31831093187202,27.31831093187202,-513.9342150718187,-513.9342150718187,27.31831093187202,27.31831093187202,50,0.0,0.0
동작구,-225.22167679077083,-227.5687577231632,-228.0993901684565,-2.347080932392373,-2.877713377685666,-228.0993901684565,-228.0993901684565,-2.877713377685666,-2.877713377685666,50,-0.5306324452932927,0.0
마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,50,0.0,0.0
서대문구,-204.04072689372015,-219.08358960997887,-219.28709236305124,-15.042862716258725,-15.246365469331096,-219.22795624936944,-219.28709236305124,-15.187229355649293,-15.246365469331096,300,-0.1443666393905687,0.0
서초구,-349.6832361670017,-310.36565738081543,-310.36565738081543,39.31757878618629,39.31757878618629,-310.36565738081543,-310.36565738081543,39.31757878618629,39.31757878618629,100,0.0,0.0
성동구,-975.0666342545584,-927.7498984225706,-950.4392622347326,47.316735831987785,24.62737201982577,-927.7498984225706,-1029.2166361517454,47.316735831987785,-54.15000189718705,100,0.0,-78.77737391701282
성북구,-205.318536267527,-214.96604302228732,-214.96604302228732,-9.647506754760315,-9.647506754760315,-214.96604302228732,-214.96604302228732,-9.647506754760315,-9.647506754760315,50,0.0,0.0
송파구,-2115.665714871628,-2053.4242902035944,-2053.4242902035944,62.24142466803369,62.24142466803369,-2053.4242902035944,-2053.4242902035944,62.24142466803369,62.24142466803369,50,0.0,0.0
양천구,-1789.449819924635,-1760.4239793151828,-1760.4239793151828,29.02584060945219,29.02584060945219,-1749.9407672813602,-1760.4239793151828,39.5090526432748,29.02584060945219,1,10.48321203382261,0.0
영등포구,-3139.0850062866525,-3062.536839761483,-3251.999941969096,76.54816652516956,-112.91493568244368,-3065.880774026915,-3135.5461376353146,73.20423225973764,3.538868651337907,150,-3.343934265431926,116.45380433378159
용산구,-163.1519503071857,-146.16647407008253,-146.16647407008253,16.98547623710317,16.98547623710317,-146.16647407008253,-146.16647407008253,16.98547623710317,16.98547623710317,50,0.0,0.0
은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,100,0.0,0.0
종로구,-516.7614769675259,-498.27043839019126,-498.27043839019126,18.491038577334677,18.491038577334677,-498.27043839019126,-498.27043839019126,18.491038577334677,18.491038577334677,50,0.0,0.0
중구,-380.1154755818949,-366.14587297960344,-366.14587297960344,13.969602602291445,13.969602602291445,-366.14587297960344,-366.14587297960344,13.969602602291445,13.969602602291445,100,0.0,0.0
중랑구,-322.6771812648181,-305.99439615275696,-305.99439615275696,16.68278511206114,16.68278511206114,-305.99439615275696,-305.99439615275696,16.68278511206114,16.68278511206114,50,0.0,0.0
