district,station_count,active_station_count,forecast_status,train_status,baseline_avg_reward,best_avg_reward,final_avg_reward,best_delta_vs_baseline,final_delta_vs_baseline,best_episode,forecast_mae_rent,forecast_mae_return,train_log,forecast_path
강남구,201,179,ok,ok,-531.69,-481.9703800122082,-481.9703800122082,49.71961998779187,49.71961998779187,250.0,0.656322181224823,0.6151687502861023,logs/gu_a2c_topk_no_bc_2026-06-06/01_강남구_a2c.log,data/forecast_by_gu/demand_forecast_1h_강남구.parquet
강동구,140,123,ok,ok,-662.9,-639.9002773072509,-639.9002773072509,22.99972269274906,22.99972269274906,50.0,0.9336138963699341,0.9096621870994568,logs/gu_a2c_topk_no_bc_2026-06-06/02_강동구_a2c.log,data/forecast_by_gu/demand_forecast_1h_강동구.parquet
강북구,73,59,ok,ok,-35.24,-37.88194059414798,-37.88194059414798,-2.641940594147975,-2.641940594147975,350.0,0.7035670280456543,0.6753333806991577,logs/gu_a2c_topk_no_bc_2026-06-06/03_강북구_a2c.log,data/forecast_by_gu/demand_forecast_1h_강북구.parquet
강서구,232,201,ok,ok,-3549.03,-3499.131901762946,-3499.131901762946,49.898098237054,49.898098237054,50.0,1.2690938711166382,1.208358645439148,logs/gu_a2c_topk_no_bc_2026-06-06/04_강서구_a2c.log,data/forecast_by_gu/demand_forecast_1h_강서구.parquet
관악구,98,71,ok,ok,-143.52,-162.0902974600299,-162.0902974600299,-18.570297460029877,-18.570297460029877,50.0,0.7793243527412415,0.7477655410766602,logs/gu_a2c_topk_no_bc_2026-06-06/05_관악구_a2c.log,data/forecast_by_gu/demand_forecast_1h_관악구.parquet
광진구,110,90,ok,ok,-899.53,-851.8882911758361,-851.8882911758361,47.64170882416386,47.64170882416386,50.0,1.2019519805908203,1.1469388008117676,logs/gu_a2c_topk_no_bc_2026-06-06/06_광진구_a2c.log,data/forecast_by_gu/demand_forecast_1h_광진구.parquet
구로구,129,115,ok,ok,-847.08,-800.9307569009977,-800.9307569009977,46.14924309900232,46.14924309900232,150.0,0.9196682572364807,0.8787795305252075,logs/gu_a2c_topk_no_bc_2026-06-06/07_구로구_a2c.log,data/forecast_by_gu/demand_forecast_1h_구로구.parquet
금천구,84,76,ok,ok,-357.09,-352.4534016155477,-352.4534016155477,4.63659838445227,4.63659838445227,250.0,0.6885902881622314,0.6570857167243958,logs/gu_a2c_topk_no_bc_2026-06-06/08_금천구_a2c.log,data/forecast_by_gu/demand_forecast_1h_금천구.parquet
노원구,170,152,ok,ok,-800.31,-752.124905498524,-752.124905498524,48.18509450147599,48.18509450147599,50.0,0.9834887385368347,0.9520035982131958,logs/gu_a2c_topk_no_bc_2026-06-06/09_노원구_a2c.log,data/forecast_by_gu/demand_forecast_1h_노원구.parquet
도봉구,103,76,ok,ok,-124.93,-134.33236685347046,-134.33236685347046,-9.402366853470454,-9.402366853470454,50.0,0.8162204623222351,0.7886821627616882,logs/gu_a2c_topk_no_bc_2026-06-06/10_도봉구_a2c.log,data/forecast_by_gu/demand_forecast_1h_도봉구.parquet
