algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return,group_type
A2C,강서구,-3549.03,-3499.131901762946,-3499.131901762946,49.898098237054,49.898098237054,50.0,500.0,11,logs/actor_critic_interactive_a2c_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,,Best
A2C,강남구,-531.69,-481.9703800122082,-481.9703800122082,49.71961998779187,49.71961998779187,50.0,500.0,11,logs/actor_critic_interactive_a2c_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,,Best
A2C,노원구,-800.31,-752.124905498524,-752.124905498524,48.18509450147599,48.18509450147599,50.0,500.0,11,logs/actor_critic_interactive_a2c_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,,Best
A2C,관악구,-143.52,-162.0902974600299,-162.0902974600299,-18.570297460029877,-18.570297460029877,50.0,500.0,11,logs/actor_critic_interactive_a2c_관악구/history.npy,98,71,1432418.0,3731760,71,0.7244897959183674,,,Worst
A2C,은평구,-241.77,-257.289623124343,-257.289623124343,-15.519623124342985,-15.519623124342985,50.0,500.0,11,logs/actor_critic_interactive_a2c_은평구/history.npy,118,98,1746039.0,5151076,98,0.8305084745762712,,,Worst
A2C,서대문구,-191.43,-204.00272090077584,-204.16493300009083,-12.572720900775835,-12.73493300009082,200.0,500.0,11,logs/actor_critic_interactive_a2c_서대문구/history.npy,96,80,1318854.0,4205120,80,0.8333333333333334,,,Worst
BANDIT,동대문구,-473.82,-453.03128514376897,-470.8518622818883,20.788714856231024,2.9681377181116773,40000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_동대문구/history.npy,110,91,2537854.0,4784052,91,0.8272727272727273,,,Best
BANDIT,중랑구,-301.3,-280.6360738101898,-308.3204699442769,20.663926189810184,-7.020469944276897,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_중랑구/history.npy,111,96,2087258.0,5045952,96,0.8648648648648649,,,Best
BANDIT,서초구,-288.84,-270.566930565241,-295.2151410698555,18.273069434758952,-6.375141069855545,40000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,,Best
BANDIT,강서구,-3549.03,-3707.5298316178273,-3721.47110426459,-158.4998316178271,-172.44110426458974,120000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,,Worst
BANDIT,성동구,-863.68,-1002.2563975076754,-1042.8199213551009,-138.57639750767544,-179.1399213551009,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_성동구/history.npy,117,96,2779995.0,5046816,96,0.8205128205128205,,,Worst
BANDIT,강동구,-662.9,-779.3200776910817,-795.1882162590663,-116.4200776910817,-132.2882162590663,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,,Worst
