algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return
REINFORCE,강남구,-531.69,-481.9703800122082,-481.9703800122082,49.71961998779187,49.71961998779187,450.0,500.0,11,logs/reinforce_interactive_reinforce_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,
REINFORCE,강동구,-662.9,-711.3513786778473,-711.3513786778473,-48.45137867784729,-48.45137867784729,350.0,500.0,11,logs/reinforce_interactive_reinforce_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,
REINFORCE,강북구,-35.24,-39.242990331520154,-39.242990331520154,-4.002990331520152,-4.002990331520152,100.0,500.0,11,logs/reinforce_interactive_reinforce_강북구/history.npy,73,59,934477.0,3101276,59,0.8082191780821918,,
REINFORCE,강서구,-3549.03,-3706.4818855361204,-3706.4818855361204,-157.45188553612024,-157.45188553612024,500.0,500.0,11,logs/reinforce_interactive_reinforce_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,
REINFORCE,관악구,-143.52,-162.0902974600299,-162.0902974600299,-18.570297460029877,-18.570297460029877,250.0,500.0,11,logs/reinforce_interactive_reinforce_관악구/history.npy,98,71,1432418.0,3731760,71,0.7244897959183674,,
REINFORCE,광진구,-899.53,-851.8882911758361,-851.8882911758361,47.64170882416386,47.64170882416386,200.0,500.0,11,logs/reinforce_interactive_reinforce_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,
REINFORCE,구로구,-847.08,-843.1596797630835,-843.1596797630835,3.9203202369164956,3.9203202369164956,400.0,500.0,11,logs/reinforce_interactive_reinforce_구로구/history.npy,129,115,3053386.0,6045320,115,0.8914728682170543,,
REINFORCE,금천구,-357.09,-352.4534016155477,-391.58095814217023,4.63659838445227,-34.49095814217026,450.0,500.0,11,logs/reinforce_interactive_reinforce_금천구/history.npy,84,76,1271514.0,3995168,76,0.9047619047619048,,
REINFORCE,노원구,-800.31,-773.3959150506406,-957.8628146784728,26.914084949359335,-157.55281467847283,150.0,500.0,11,logs/reinforce_interactive_reinforce_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,
REINFORCE,도봉구,-124.93,-157.75145920816536,-157.75145920816536,-32.82145920816535,-32.82145920816535,500.0,500.0,11,logs/reinforce_interactive_reinforce_도봉구/history.npy,103,76,1550924.0,3995244,76,0.7378640776699029,,
