district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_episode,n_eval_points
강남구,-531.69,-520.020533281013,-520.020533281013,11.66946671898711,11.66946671898711,250.0,11
강동구,-662.9,-635.9002476267807,-639.9002773072509,26.99975237321928,22.99972269274906,200.0,11
강북구,-35.24,-39.2382289402045,-39.2382289402045,-3.9982289402044984,-3.9982289402044984,500.0,11
강서구,-3549.03,-3499.131901762946,-3596.8557835328515,49.898098237054,-47.82578353285135,50.0,11
관악구,-143.52,-162.0902974600299,-192.39675896159164,-18.570297460029877,-48.876758961591634,400.0,11
광진구,-899.53,-979.8554645464174,-982.7019631628792,-80.32546454641738,-83.17196316287925,400.0,11
구로구,-847.08,-843.1596797630835,-843.1596797630835,3.9203202369164956,3.9203202369164956,200.0,11
금천구,-357.09,-393.5748388656292,-393.5748388656292,-36.48483886562923,-36.48483886562923,500.0,11
노원구,-800.31,-756.4698960984085,-829.8577158235032,43.84010390159142,-29.547715823503268,50.0,11
도봉구,-124.93,-134.3301953981884,-134.3307975009087,-9.400195398188401,-9.40079750090868,300.0,11
동대문구,-473.82,-441.5519656112605,-441.5519656112605,32.268034388739466,32.268034388739466,200.0,11
동작구,-173.98,-172.20778601220258,-262.0916311177729,1.7722139877974143,-88.11163111777293,300.0,11
마포구,-760.25,-716.4626573213827,-910.224807411378,43.78734267861728,-149.97480741137804,200.0,11
서대문구,-191.43,-204.09924988409304,-204.16493300009083,-12.669249884093034,-12.73493300009082,300.0,11
서초구,-288.84,-294.67114678945103,-294.67114678945103,-5.831146789451054,-5.831146789451054,500.0,11
성동구,-863.68,-895.696580859867,-905.9036445866969,-32.01658085986708,-42.22364458669699,150.0,11
성북구,-154.26,-190.23830021874704,-190.23830021874704,-35.97830021874705,-35.97830021874705,150.0,11
송파구,-1988.42,-2055.8622892759768,-2092.14778237189,-67.44228927597669,-103.72778237189004,1.0,11
양천구,-1511.21,-1460.2820844079895,-1460.2820844079895,50.92791559201055,50.92791559201055,100.0,11
영등포구,-2440.1,-2446.3439942228056,-2565.343617166277,-6.243994222805668,-125.24361716627709,1.0,11
용산구,-104.37,-131.53165748995877,-131.53165748995877,-27.16165748995877,-27.16165748995877,100.0,11
은평구,-241.77,-257.289623124343,-358.6482579392431,-15.519623124342985,-116.87825793924307,100.0,11
종로구,-371.95,-392.44666855440886,-395.512715250372,-20.49666855440887,-23.562715250372037,250.0,11
중구,-244.27,-264.4516328633275,-339.6453724323604,-20.181632863327508,-95.37537243236036,100.0,11
중랑구,-301.3,-272.6133512873656,-272.6133861447405,28.686648712634394,28.68661385525951,150.0,11
