algorithm,group,district,seed,baseline,best_reward,final_reward,best_delta,final_delta,best_episode,history_path
A2C,best,강서구,42,-3549.03,-4118.999765330963,-4118.999765330963,-569.9697653309627,-569.9697653309627,50,logs/actor_critic_interactive_chronological_topk12_a2c_강서구/history.npy
A2C,best,강서구,123,-3549.03,-4125.282691648858,-4125.282691648858,-576.2526916488582,-576.2526916488582,50,logs/actor_critic_seedci_chronological_a2c_강서구_s123/history.npy
A2C,best,강서구,777,-3549.03,-4123.928677965632,-4123.928677965632,-574.898677965632,-574.898677965632,50,logs/actor_critic_seedci_chronological_a2c_강서구_s777/history.npy
A2C,best,강남구,42,-531.69,-639.3470021197803,-639.3470021197803,-107.65700211978026,-107.65700211978026,50,logs/actor_critic_interactive_chronological_topk12_a2c_강남구/history.npy
A2C,best,강남구,123,-531.69,-640.1517791684245,-640.1517791684245,-108.46177916842441,-108.46177916842441,50,logs/actor_critic_seedci_chronological_a2c_강남구_s123/history.npy
A2C,best,강남구,777,-531.69,-642.0787109971668,-642.0787109971668,-110.38871099716675,-110.38871099716675,100,logs/actor_critic_seedci_chronological_a2c_강남구_s777/history.npy
A2C,best,노원구,42,-800.31,-648.8737525827054,-656.5189101739634,151.43624741729457,143.79108982603657,50,logs/actor_critic_interactive_chronological_topk12_a2c_노원구/history.npy
A2C,best,노원구,123,-800.31,-649.1288590941487,-735.7791648113996,151.1811409058513,64.53083518860035,50,logs/actor_critic_seedci_chronological_a2c_노원구_s123/history.npy
A2C,best,노원구,777,-800.31,-653.5640758937083,-653.5640758937083,146.74592410629168,146.74592410629168,50,logs/actor_critic_seedci_chronological_a2c_노원구_s777/history.npy
A2C,worst,관악구,42,-143.52,-186.55309289084175,-188.16295888912032,-43.03309289084174,-44.64295888912031,400,logs/actor_critic_interactive_chronological_topk12_a2c_관악구/history.npy
A2C,worst,관악구,123,-143.52,-185.71127292561866,-185.71127292561866,-42.19127292561865,-42.19127292561865,50,logs/actor_critic_seedci_chronological_a2c_관악구_s123/history.npy
A2C,worst,관악구,777,-143.52,-187.30469821926908,-243.3595557185899,-43.784698219269075,-99.83955571858988,50,logs/actor_critic_seedci_chronological_a2c_관악구_s777/history.npy
A2C,worst,은평구,42,-241.77,-292.95102784713805,-292.95102784713805,-51.18102784713804,-51.18102784713804,50,logs/actor_critic_interactive_chronological_topk12_a2c_은평구/history.npy
A2C,worst,은평구,123,-241.77,-289.281539040668,-303.16452369113165,-47.511539040668,-61.39452369113164,350,logs/actor_critic_seedci_chronological_a2c_은평구_s123/history.npy
A2C,worst,은평구,777,-241.77,-294.51800636059,-294.51800636059,-52.74800636058998,-52.74800636058998,150,logs/actor_critic_seedci_chronological_a2c_은평구_s777/history.npy
A2C,worst,서대문구,42,-191.43,-219.08358960997887,-219.28709236305124,-27.653589609978866,-27.857092363051237,50,logs/actor_critic_interactive_chronological_topk12_a2c_서대문구/history.npy
A2C,worst,서대문구,123,-191.43,-218.4726421870371,-218.4726421870371,-27.042642187037103,-27.042642187037103,50,logs/actor_critic_seedci_chronological_a2c_서대문구_s123/history.npy
A2C,worst,서대문구,777,-191.43,-220.9545273430435,-220.9545273430435,-29.524527343043502,-29.524527343043502,50,logs/actor_critic_seedci_chronological_a2c_서대문구_s777/history.npy
REINFORCE,best,양천구,42,-1511.21,-1717.8798803695367,-1753.7270196645616,-206.6698803695367,-242.51701966456153,100,logs/reinforce_interactive_chronological_topk12_reinforce_양천구/history.npy
REINFORCE,best,양천구,123,-1511.21,-1836.9862797217504,-1885.821370420901,-325.77627972175037,-374.61137042090104,100,logs/reinforce_seedci_chronological_reinforce_양천구_s123/history.npy
REINFORCE,best,양천구,777,-1511.21,-1721.3320670041992,-1721.3320670041992,-210.12206700419915,-210.12206700419915,350,logs/reinforce_seedci_chronological_reinforce_양천구_s777/history.npy
REINFORCE,best,강남구,42,-531.69,-695.5722897172578,-728.6186422886328,-163.88228971725778,-196.92864228863277,100,logs/reinforce_interactive_chronological_topk12_reinforce_강남구/history.npy
REINFORCE,best,강남구,123,-531.69,-640.1517791684245,-640.1517791684245,-108.46177916842441,-108.46177916842441,50,logs/reinforce_seedci_chronological_reinforce_강남구_s123/history.npy
REINFORCE,best,강남구,777,-531.69,-642.0787109971668,-642.0787109971668,-110.38871099716675,-110.38871099716675,350,logs/reinforce_seedci_chronological_reinforce_강남구_s777/history.npy
REINFORCE,best,광진구,42,-899.53,-882.314196809775,-1193.7210595233062,17.21580319022496,-294.1910595233062,100,logs/reinforce_interactive_chronological_topk12_reinforce_광진구/history.npy
REINFORCE,best,광진구,123,-899.53,-878.7853644871717,-878.7853644871717,20.744635512828268,20.744635512828268,500,logs/reinforce_seedci_chronological_reinforce_광진구_s123/history.npy
REINFORCE,best,광진구,777,-899.53,-969.4814058944021,-1169.1966474063809,-69.95140589440211,-269.6666474063809,400,logs/reinforce_seedci_chronological_reinforce_광진구_s777/history.npy
REINFORCE,worst,강서구,42,-3549.03,-4243.509147962214,-4289.464512524589,-694.479147962214,-740.4345125245886,150,logs/reinforce_interactive_chronological_topk12_reinforce_강서구/history.npy
REINFORCE,worst,강서구,123,-3549.03,-4244.718656640726,-4382.100068715928,-695.6886566407261,-833.0700687159274,50,logs/reinforce_seedci_chronological_reinforce_강서구_s123/history.npy
REINFORCE,worst,강서구,777,-3549.03,-4237.645018477217,-4334.368164774323,-688.6150184772164,-785.3381647743231,250,logs/reinforce_seedci_chronological_reinforce_강서구_s777/history.npy
REINFORCE,worst,마포구,42,-760.25,-826.2242526020233,-915.8645816094566,-65.97425260202328,-155.61458160945665,400,logs/reinforce_interactive_chronological_topk12_reinforce_마포구/history.npy
REINFORCE,worst,마포구,123,-760.25,-1004.5867450173812,-1008.4055973647124,-244.3367450173812,-248.15559736471243,350,logs/reinforce_seedci_chronological_reinforce_마포구_s123/history.npy
REINFORCE,worst,마포구,777,-760.25,-885.9048449640911,-885.9048449640911,-125.65484496409113,-125.65484496409113,200,logs/reinforce_seedci_chronological_reinforce_마포구_s777/history.npy
REINFORCE,worst,강동구,42,-662.9,-614.4543200763629,-653.3859824546877,48.445679923637044,9.5140175453123,100,logs/reinforce_interactive_chronological_topk12_reinforce_강동구/history.npy
REINFORCE,worst,강동구,123,-662.9,-596.6445481621087,-596.6445481621087,66.25545183789131,66.25545183789131,500,logs/reinforce_seedci_chronological_reinforce_강동구_s123/history.npy
REINFORCE,worst,강동구,777,-662.9,-734.0442154458348,-734.0442154458348,-71.14421544583479,-71.14421544583479,300,logs/reinforce_seedci_chronological_reinforce_강동구_s777/history.npy
