algorithm,group,district,baseline,n_seed,best_delta_mean,best_delta_std,final_delta_mean,final_delta_std,best_reward_mean,final_reward_mean,best_delta_ci95,final_delta_ci95
A2C,best,강남구,-531.69,3,-108.83583076179048,1.4037429585122818,-108.83583076179048,1.4037429585122818,-640.5258307617905,-640.5258307617905,1.5884846949414109,1.5884846949414109
A2C,best,강서구,-3549.03,3,-573.7070449818176,3.306627081349202,-573.7070449818176,3.306627081349202,-4122.737044981818,-4122.737044981818,3.74180078963227,3.74180078963227
A2C,best,노원구,-800.31,3,149.7877708098125,2.637402767655256,118.3559497069762,46.63732385218033,-650.5222291901874,-681.9540502930237,2.9845021878197633,52.775100101466535
A2C,worst,관악구,-143.52,3,-43.003021345243155,0.7971381718386423,-62.224595844442945,32.59856738824838,-186.52302134524317,-205.74459584444296,0.902046758661038,36.88875164733066
A2C,worst,서대문구,-191.43,3,-28.073586380019822,1.293149816160083,-28.141420631043946,1.2651365163040822,-219.5035863800198,-219.57142063104394,1.4633367731465763,1.4316367401695829
A2C,worst,은평구,-241.77,3,-50.480191082798676,2.687661925510719,-55.10785263295322,5.500502718907485,-292.25019108279866,-296.8778526329532,3.04137577892127,6.22440478186143
REINFORCE,best,강남구,-531.69,3,-127.57759329428298,31.455548053426508,-138.59304415140798,50.52929619625622,-659.2675932942831,-670.283044151408,35.595303506859885,57.17928141130689
REINFORCE,best,광진구,-899.53,3,-10.663655730449628,51.37500514859048,-181.03769047228627,175.17831488912225,-910.1936557304497,-1080.5676904722861,58.136291182227964,198.23292462454273
REINFORCE,best,양천구,-1511.21,3,-247.5227423651621,67.79152955756608,-275.7501523632206,87.1350306498653,-1758.7327423651623,-1786.9601523632207,76.71333736412102,98.60256946703021
REINFORCE,worst,강동구,-662.9,3,14.51897210523119,74.7190288344694,1.541751312456275,69.04588991450042,-648.3810278947689,-661.3582486875438,84.5525407658899,78.1327797320052
REINFORCE,worst,강서구,-3549.03,3,-692.9276076933855,3.7834570331130712,-786.2809153382797,46.32497330478508,-4241.957607693385,-4335.31091533828,4.28138467560902,52.42164218313099
REINFORCE,worst,마포구,-760.25,3,-145.32194752783187,90.79312125703233,-176.47500797942007,63.85903715162076,-905.5719475278319,-936.72500797942,102.74208867669533,72.26330328776997
