algorithm,district,seeds,mean_best_delta,std_best_delta,min_best_delta,max_best_delta,mean_final_delta
A2C,강남구,3,49.4,1.4,47.8,50.6,49.4
A2C,강서구,3,50.1,3.3,47.6,53.9,50.1
A2C,관악구,3,-38.8,0.8,-39.6,-38.0,-58.0
A2C,노원구,3,70.3,2.6,67.3,72.0,38.9
A2C,서대문구,3,-15.5,1.3,-16.9,-14.4,-15.5
A2C,은평구,3,-9.1,2.7,-11.4,-6.1,-13.7
REINFORCE,강남구,3,30.7,31.5,-5.7,49.8,19.6
REINFORCE,강동구,3,-33.2,74.7,-118.9,18.5,-46.2
REINFORCE,강서구,3,-69.1,3.8,-71.9,-64.8,-162.5
REINFORCE,광진구,3,-13.6,51.4,-72.9,17.8,-184.0
REINFORCE,마포구,3,6.2,90.8,-92.8,85.6,-24.9
REINFORCE,양천구,3,30.7,67.8,-47.5,71.6,2.5
