k,district,baseline,best_reward,final_reward,best_delta,final_delta,best_ep,last_ep,n_eval
3,관악구,-147.7516989065617,-186.94788272215646,-201.6069089901362,-39.196183815594765,-53.85521008357449,200,500,11
3,노원구,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,50,500,11
3,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,50,500,11
3,서대문구,-204.04072689372015,-219.28709236305124,-219.28709236305124,-15.246365469331096,-15.246365469331096,50,500,11
3,영등포구,-3139.0850062866525,-3080.517614340018,-3119.737481836491,58.567391946634416,19.347524450161472,50,500,11
3,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,50,500,11
6,관악구,-147.7516989065617,-188.16295888912032,-188.16295888912032,-40.41125998255862,-40.41125998255862,200,500,11
6,노원구,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,50,500,11
6,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,50,500,11
6,서대문구,-204.04072689372015,-219.22795624936944,-219.28709236305124,-15.187229355649293,-15.246365469331096,300,500,11
6,영등포구,-3139.0850062866525,-3065.880774026915,-3135.5461376353146,73.20423225973764,3.538868651337907,150,500,11
6,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,100,500,11
12,관악구,-147.7516989065617,-186.55309289084175,-188.16295888912032,-38.801393984280054,-40.41125998255862,400,500,11
12,노원구,-720.8289091557399,-648.8737525827054,-656.5189101739634,71.95515657303451,64.30999898177652,50,500,11
12,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,50,500,11
12,서대문구,-204.04072689372015,-219.08358960997887,-219.28709236305124,-15.042862716258725,-15.246365469331096,50,500,11
12,영등포구,-3139.0850062866525,-3062.536839761483,-3251.999941969096,76.54816652516956,-112.91493568244368,1,500,11
12,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,50,500,11
