k,district,baseline,best_reward,final_reward,best_delta,final_delta,best_ep,n_eval
3,관악구,-147.7516989065617,-186.94788272215646,-186.94788272215646,-39.196183815594765,-39.196183815594765,200,11
3,노원구,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,20,11
3,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,40,11
3,서대문구,-204.04072689372015,-219.28709236305124,-219.28709236305124,-15.246365469331096,-15.246365469331096,40,11
3,영등포구,-3139.0850062866525,-3050.898173271108,-3081.892675368755,88.18683301554438,57.19233091789738,80,11
3,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,20,11
6,관악구,-147.7516989065617,-188.16295888912032,-188.16295888912032,-40.41125998255862,-40.41125998255862,20,11
6,노원구,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,20,11
6,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,20,11
6,서대문구,-204.04072689372015,-219.28709236305124,-219.28709236305124,-15.246365469331096,-15.246365469331096,20,11
6,영등포구,-3139.0850062866525,-3065.880774026915,-3065.880774026915,73.20423225973764,73.20423225973764,140,11
6,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,100,11
9,관악구,-147.7516989065617,-188.16295888912032,-188.16295888912032,-40.41125998255862,-40.41125998255862,20,11
9,노원구,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,20,11
9,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,80,11
9,서대문구,-204.04072689372015,-219.28709236305124,-219.28709236305124,-15.246365469331096,-15.246365469331096,40,11
9,영등포구,-3139.0850062866525,-3103.860434805568,-3134.521673912881,35.224571481084695,4.563332373771573,40,11
9,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,20,11
12,관악구,-147.7516989065617,-188.16295888912032,-188.16295888912032,-40.41125998255862,-40.41125998255862,20,11
12,노원구,-720.8289091557399,-647.2535110053393,-648.8737525827054,73.57539815040059,71.95515657303451,20,11
12,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,40,11
12,서대문구,-204.04072689372015,-219.28709236305124,-219.28709236305124,-15.246365469331096,-15.246365469331096,60,11
12,영등포구,-3139.0850062866525,-3062.536839761483,-3259.2235774268493,76.54816652516956,-120.13857114019675,1,11
12,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,20,11
15,관악구,-147.7516989065617,-188.1448261750916,-217.2675353352854,-40.393127268529895,-69.5158364287237,80,11
15,노원구,-720.8289091557399,-648.8737525827054,-648.8737525827054,71.95515657303451,71.95515657303451,40,11
15,마포구,-911.8044514780717,-826.2242526020233,-826.2242526020233,85.58019887604837,85.58019887604837,40,11
15,서대문구,-204.04072689372015,-219.28709236305124,-219.28709236305124,-15.246365469331096,-15.246365469331096,60,11
15,영등포구,-3139.0850062866525,-3065.8779157293175,-3150.7571830404786,73.20709055733505,-11.67217675382608,20,11
15,은평구,-283.1632995730515,-292.95102784713805,-292.95102784713805,-9.787728274086533,-9.787728274086533,20,11
