label,alg,district,baseline,best_reward,final_reward,best_step,n_eval_points,best_delta,final_delta
Final TopK9,REINFORCE,강남구,-350.3599508836934,-319.08191777567583,-319.08191777567583,200,11,31.278033108017553,31.278033108017553
Final TopK9,REINFORCE,강동구,-334.2573463233564,-328.115880224454,-328.115880224454,450,11,6.141466098902413,6.141466098902413
Final TopK9,REINFORCE,강북구,-13.616036756349311,-14.214182531560498,-14.440879890760872,100,11,-0.5981457752111865,-0.8248431344115605
Final TopK9,REINFORCE,강서구,-2676.0772020562486,-2637.33981360554,-2637.33981360554,400,11,38.73738845070875,38.73738845070875
Final TopK9,REINFORCE,관악구,-73.94744718722015,-101.61908479101598,-102.50607422013448,300,11,-27.67163760379583,-28.55862703291433
Final TopK9,REINFORCE,광진구,-591.597740357906,-571.9367156520731,-571.9367156520731,300,11,19.661024705832915,19.661024705832915
Final TopK9,REINFORCE,구로구,-609.5512092114152,-596.3040738864104,-723.9972580329338,400,11,13.24713532500482,-114.44604882151862
Final TopK9,REINFORCE,금천구,-256.21739023640725,-249.10963919790441,-249.10963919790441,100,11,7.10775103850284,7.10775103850284
Final TopK9,REINFORCE,노원구,-457.180474730789,-430.48561976414857,-430.48561976414857,500,11,26.694854966640435,26.694854966640435
Final TopK9,REINFORCE,도봉구,-82.2353194406718,-87.71972471744401,-87.71972471744401,150,11,-5.484405276772208,-5.484405276772208
Final TopK9,REINFORCE,동대문구,-321.128317502743,-331.65638083270244,-340.23595015311724,300,11,-10.528063329959423,-19.107632650374228
Final TopK9,REINFORCE,동작구,-97.78108169902266,-103.00469777177672,-103.00469777177672,300,11,-5.223616072754055,-5.223616072754055
Final TopK9,REINFORCE,마포구,-490.3667980298629,-445.7524071909575,-446.228817060995,400,11,44.614390838905365,44.13798096886785
Final TopK9,REINFORCE,서대문구,-139.25862312292162,-156.54432004618602,-203.93618332504542,450,11,-17.285696923264396,-64.6775602021238
Final TopK9,REINFORCE,서초구,-173.73157119184765,-147.2605317546892,-147.2605317546892,500,11,26.471039437158453,26.471039437158453
Final TopK9,REINFORCE,성동구,-594.8518857697841,-578.1659942104517,-641.6142647719752,50,11,16.68589155933239,-46.762379002191096
Final TopK9,REINFORCE,성북구,-102.0627157134765,-117.01647642312257,-136.3400443818728,150,11,-14.953760709646062,-34.27732866839628
Final TopK9,REINFORCE,송파구,-1225.7996363883465,-1289.2862656002887,-1380.8642110007584,1,11,-63.48662921194227,-155.0645746124119
Final TopK9,REINFORCE,양천구,-1083.3153729974601,-1070.482643637123,-1142.6540263602276,150,11,12.832729360337225,-59.338653362767445
Final TopK9,REINFORCE,영등포구,-1896.9705988373582,-1921.153686521679,-1921.153686521679,500,11,-24.183087684320753,-24.183087684320753
Final TopK9,REINFORCE,용산구,-66.89860792865139,-70.73815758080657,-70.73815758080657,100,11,-3.839549652155185,-3.839549652155185
Final TopK9,REINFORCE,은평구,-150.21607343804496,-197.42394872441113,-262.906894891422,100,11,-47.207875286366175,-112.69082145337703
Final TopK9,REINFORCE,종로구,-268.2836955125016,-263.55095254341325,-263.55095254341325,400,11,4.732742969088349,4.732742969088349
Final TopK9,REINFORCE,중구,-182.61475511225203,-212.12478747141617,-260.9145352324089,200,11,-29.510032359164143,-78.2997801201569
Final TopK9,REINFORCE,중랑구,-161.6356754974581,-154.60864890493357,-214.99711297422533,350,11,7.027026592524521,-53.361437476767236
Final TopK9,A2C,강남구,-350.3599508836934,-319.08191777567583,-319.08191777567583,100,11,31.278033108017553,31.278033108017553
Final TopK9,A2C,강동구,-334.2573463233564,-328.115880224454,-328.115880224454,50,11,6.141466098902413,6.141466098902413
Final TopK9,A2C,강북구,-13.616036756349311,-14.214182531560498,-15.789465604946823,50,11,-0.5981457752111865,-2.1734288485975117
Final TopK9,A2C,강서구,-2676.0772020562486,-2637.33981360554,-2637.33981360554,50,11,38.73738845070875,38.73738845070875
Final TopK9,A2C,관악구,-73.94744718722015,-100.47341333936633,-100.47341333936633,50,11,-26.525966152146182,-26.525966152146182
Final TopK9,A2C,광진구,-591.597740357906,-571.9367156520731,-571.9367156520731,100,11,19.661024705832915,19.661024705832915
Final TopK9,A2C,구로구,-609.5512092114152,-582.2997940156424,-582.2997940156424,200,11,27.25141519577278,27.25141519577278
Final TopK9,A2C,금천구,-256.21739023640725,-249.10963919790441,-249.10963919790441,50,11,7.10775103850284,7.10775103850284
Final TopK9,A2C,노원구,-457.180474730789,-404.23361245537643,-468.4983815656118,50,11,52.94686227541257,-11.317906834822793
Final TopK9,A2C,도봉구,-82.2353194406718,-87.71972471744401,-87.71972471744401,150,11,-5.484405276772208,-5.484405276772208
Final TopK9,A2C,동대문구,-321.128317502743,-314.8661891278425,-314.8661891278425,50,11,6.262128374900499,6.262128374900499
Final TopK9,A2C,동작구,-97.78108169902266,-103.00469777177672,-115.32748169008806,200,11,-5.223616072754055,-17.5463999910654
Final TopK9,A2C,마포구,-490.3667980298629,-445.7524071909575,-445.7524071909575,100,11,44.614390838905365,44.614390838905365
Final TopK9,A2C,서대문구,-139.25862312292162,-156.55933984942737,-171.1821142047427,50,11,-17.300716726505755,-31.923491081821084
Final TopK9,A2C,서초구,-173.73157119184765,-146.65592662612332,-195.9738037441253,50,11,27.075644565724332,-22.242232552277642
Final TopK9,A2C,성동구,-594.8518857697841,-578.1659942104517,-602.3681410540388,100,11,16.68589155933239,-7.516255284254726
Final TopK9,A2C,성북구,-102.0627157134765,-117.01647642312257,-117.01647642312257,50,11,-14.953760709646062,-14.953760709646062
Final TopK9,A2C,송파구,-1225.7996363883465,-1173.8190562112452,-1302.241342642211,50,11,51.980580177101274,-76.4417062538646
Final TopK9,A2C,양천구,-1083.3153729974601,-1030.507725274065,-1030.507725274065,100,11,52.80764772339512,52.80764772339512
Final TopK9,A2C,영등포구,-1896.9705988373582,-1921.0341339667818,-1926.6365083549595,200,11,-24.0635351294236,-29.66590951760122
Final TopK9,A2C,용산구,-66.89860792865139,-70.73815758080657,-70.73815758080657,50,11,-3.839549652155185,-3.839549652155185
Final TopK9,A2C,은평구,-150.21607343804496,-159.34425894717435,-159.64904704306792,150,11,-9.128185509129395,-9.432973605022966
Final TopK9,A2C,종로구,-268.2836955125016,-263.55095254341325,-263.55095254341325,100,11,4.732742969088349,4.732742969088349
Final TopK9,A2C,중구,-182.61475511225203,-179.36452148063745,-179.36452148063745,100,11,3.2502336316145772,3.2502336316145772
Final TopK9,A2C,중랑구,-161.6356754974581,-154.60864890493357,-154.60864890493357,100,11,7.027026592524521,7.027026592524521
Full TopK12,REINFORCE,강남구,-350.3599508836934,-359.0946562843991,-382.31698770785016,100,11,-8.734705400705707,-31.957036824156773
Full TopK12,REINFORCE,강동구,-334.2573463233564,-352.7569784799272,-373.50150608937815,100,11,-18.49963215657084,-39.24415976602177
Full TopK12,REINFORCE,강북구,-13.616036756349311,-14.214182531560498,-14.214182531560498,350,11,-0.5981457752111865,-0.5981457752111865
Full TopK12,REINFORCE,강서구,-2676.0772020562486,-2724.915156022049,-2782.1294156311696,150,11,-48.83795396580035,-106.0522135749211
Full TopK12,REINFORCE,관악구,-73.94744718722015,-100.47341333936633,-100.47341333936633,100,11,-26.525966152146182,-26.525966152146182
Full TopK12,REINFORCE,광진구,-591.597740357906,-571.9367156520731,-847.1479126884819,100,11,19.661024705832915,-255.55017233057595
Full TopK12,REINFORCE,구로구,-609.5512092114152,-684.5913229970241,-700.3398333729901,200,11,-75.04011378560892,-90.78862416157494
Full TopK12,REINFORCE,금천구,-256.21739023640725,-284.28645636148474,-284.28645636148474,500,11,-28.069066125077484,-28.069066125077484
Full TopK12,REINFORCE,노원구,-457.180474730789,-404.23361245537643,-404.23361245537643,50,11,52.94686227541257,52.94686227541257
Full TopK12,REINFORCE,도봉구,-82.2353194406718,-116.01238252555416,-116.01238252555416,150,11,-33.77706308488236,-33.77706308488236
Full TopK12,REINFORCE,동대문구,-321.128317502743,-314.8661891278425,-314.8661891278425,300,11,6.262128374900499,6.262128374900499
Full TopK12,REINFORCE,동작구,-97.78108169902266,-106.41372857788959,-136.02794373521337,300,11,-8.632646878866922,-38.246862036190706
Full TopK12,REINFORCE,마포구,-490.3667980298629,-445.7524071909575,-506.4754921759616,400,11,44.614390838905365,-16.108694146098742
Full TopK12,REINFORCE,서대문구,-139.25862312292162,-166.52414635865912,-184.96663276325987,1,11,-27.265523235737504,-45.70800964033825
Full TopK12,REINFORCE,서초구,-173.73157119184765,-146.65592662612332,-146.65592662612332,450,11,27.075644565724332,27.075644565724332
