alg,gu,k,base,best_ep,best,final,best_delta,final_delta
A2C,강서구,12,-2676.0772020562486,80,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
A2C,관악구,12,-73.94744718722015,20,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182
A2C,구로구,12,-609.5512092114152,20,-582.2997940156424,-733.1134735461201,27.25141519577278,-123.56226433470488
A2C,노원구,12,-457.180474730789,40,-404.23361245537643,-404.23361245537643,52.94686227541257,52.94686227541257
A2C,마포구,12,-490.3667980298629,50,-826.2242526020233,-826.2242526020233,-335.8574545721604,-335.8574545721604
A2C,서대문구,12,-139.25862312292162,60,-156.55933984942737,-156.55933984942737,-17.300716726505755,-17.300716726505755
A2C,성북구,12,-102.0627157134765,100,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062
A2C,송파구,12,-1225.7996363883465,40,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274
A2C,양천구,12,-1083.3153729974601,60,-1070.482643637123,-1070.482643637123,12.832729360337225,12.832729360337225
A2C,영등포구,12,-1896.9705988373582,20,-1845.247699705505,-2033.268865794171,51.72289913185318,-136.29826695681277
A2C,은평구,12,-150.21607343804496,50,-292.95102784713805,-292.95102784713805,-142.7349544090931,-142.7349544090931
A2C,중구,12,-182.61475511225203,80,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
A2C,강서구,15,-2676.0772020562486,80,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
A2C,관악구,15,-73.94744718722015,100,-100.47341333936633,-119.54732694718619,-26.525966152146182,-45.59987975996604
A2C,구로구,15,-609.5512092114152,40,-582.2997940156424,-593.9675219574108,27.25141519577278,15.583687254004417
A2C,노원구,15,-457.180474730789,40,-404.23361245537643,-404.23361245537643,52.94686227541257,52.94686227541257
A2C,마포구,15,-490.3667980298629,40,-826.2242526020233,-826.2242526020233,-335.8574545721604,-335.8574545721604
A2C,서대문구,15,-139.25862312292162,60,-156.55933984942737,-156.55933984942737,-17.300716726505755,-17.300716726505755
A2C,성북구,15,-102.0627157134765,140,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062
A2C,송파구,15,-1225.7996363883465,60,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274
A2C,양천구,15,-1083.3153729974601,40,-1070.482643637123,-1070.482643637123,12.832729360337225,12.832729360337225
A2C,영등포구,15,-1896.9705988373582,100,-1845.247699705505,-1923.9928367743296,51.72289913185318,-27.02223793697135
A2C,은평구,15,-150.21607343804496,20,-292.95102784713805,-292.95102784713805,-142.7349544090931,-142.7349544090931
A2C,중구,15,-182.61475511225203,40,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
A2C,강서구,3,-2676.0772020562486,1,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
A2C,관악구,3,-73.94744718722015,20,-100.47341333936633,-100.69625840618008,-26.525966152146182,-26.74881121895993
A2C,구로구,3,-609.5512092114152,1,-583.3776747552394,-635.7836595585794,26.173534456175844,-26.232450347164217
A2C,노원구,3,-457.180474730789,20,-404.23361245537643,-404.23361245537643,52.94686227541257,52.94686227541257
A2C,마포구,3,-490.3667980298629,50,-826.2242526020233,-826.2242526020233,-335.8574545721604,-335.8574545721604
A2C,서대문구,3,-139.25862312292162,40,-156.55933984942737,-156.55933984942737,-17.300716726505755,-17.300716726505755
A2C,성북구,3,-102.0627157134765,20,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062
A2C,송파구,3,-1225.7996363883465,100,-1173.5719430830409,-1173.8190562112452,52.22769330530559,51.980580177101274
A2C,양천구,3,-1083.3153729974601,20,-1030.507725274065,-1030.507725274065,52.80764772339512,52.80764772339512
A2C,영등포구,3,-1896.9705988373582,80,-1843.3109622663808,-1863.001885231108,53.659636570977455,33.968713606250276
A2C,은평구,3,-150.21607343804496,50,-292.95102784713805,-292.95102784713805,-142.7349544090931,-142.7349544090931
A2C,중구,3,-182.61475511225203,40,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
A2C,강서구,6,-2676.0772020562486,20,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
A2C,관악구,6,-73.94744718722015,20,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182
A2C,구로구,6,-609.5512092114152,60,-582.2997940156424,-658.1597486179409,27.25141519577278,-48.608539406525665
A2C,노원구,6,-457.180474730789,20,-404.23361245537643,-404.23361245537643,52.94686227541257,52.94686227541257
A2C,마포구,6,-490.3667980298629,50,-826.2242526020233,-826.2242526020233,-335.8574545721604,-335.8574545721604
A2C,서대문구,6,-139.25862312292162,20,-156.55933984942737,-156.55933984942737,-17.300716726505755,-17.300716726505755
A2C,성북구,6,-102.0627157134765,40,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062
A2C,송파구,6,-1225.7996363883465,20,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274
A2C,양천구,6,-1083.3153729974601,1,-1059.2527780889332,-1209.5050681455903,24.06259490852699,-126.18969514813011
A2C,영등포구,6,-1896.9705988373582,140,-1845.247699705505,-1845.247699705505,51.72289913185318,51.72289913185318
A2C,은평구,6,-150.21607343804496,100,-292.95102784713805,-292.95102784713805,-142.7349544090931,-142.7349544090931
A2C,중구,6,-182.61475511225203,60,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
A2C,강서구,9,-2676.0772020562486,40,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
A2C,관악구,9,-73.94744718722015,20,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182
A2C,구로구,9,-609.5512092114152,160,-582.2997940156424,-582.2997940156424,27.25141519577278,27.25141519577278
A2C,노원구,9,-457.180474730789,20,-404.23361245537643,-404.23361245537643,52.94686227541257,52.94686227541257
A2C,마포구,9,-490.3667980298629,80,-826.2242526020233,-826.2242526020233,-335.8574545721604,-335.8574545721604
A2C,서대문구,9,-139.25862312292162,40,-156.55933984942737,-156.55933984942737,-17.300716726505755,-17.300716726505755
A2C,성북구,9,-102.0627157134765,60,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062
A2C,송파구,9,-1225.7996363883465,20,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274
A2C,양천구,9,-1083.3153729974601,20,-1030.507725274065,-1030.507725274065,52.80764772339512,52.80764772339512
A2C,영등포구,9,-1896.9705988373582,40,-1867.852909189708,-1921.0341339667818,29.117689647650195,-24.0635351294236
A2C,은평구,9,-150.21607343804496,20,-292.95102784713805,-292.95102784713805,-142.7349544090931,-142.7349544090931
A2C,중구,9,-182.61475511225203,60,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
