alg,district,seed,base,best_ep,best_reward,final_reward,best_delta,final_delta
A2C,강서구,123,-2676.0772020562486,100,-2639.514043349819,-2787.1886562542923,36.563158706429476,-111.1114541980437
A2C,강서구,42,-2676.0772020562486,50,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
A2C,강서구,777,-2676.0772020562486,100,-2637.729169678778,-2637.729169678778,38.348032377470645,38.348032377470645
A2C,관악구,123,-73.94744718722015,500,-100.33588557350492,-100.33588557350492,-26.388438386284776,-26.388438386284776
A2C,관악구,42,-73.94744718722015,50,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182
A2C,관악구,777,-73.94744718722015,50,-100.65806017932368,-100.65806017932368,-26.710612992103535,-26.710612992103535
A2C,구로구,123,-609.5512092114152,50,-582.4043377155097,-669.8351317275341,27.146871495905543,-60.28392251611888
A2C,구로구,42,-609.5512092114152,200,-582.2997940156424,-582.2997940156424,27.25141519577278,27.25141519577278
A2C,구로구,777,-609.5512092114152,150,-580.2846791220958,-580.2846791220958,29.266530089319417,29.266530089319417
A2C,노원구,123,-457.180474730789,50,-405.12600253601073,-405.45580766117865,52.05447219477827,51.72466706961035
A2C,노원구,42,-457.180474730789,50,-404.23361245537643,-468.4983815656118,52.94686227541257,-11.317906834822793
A2C,노원구,777,-457.180474730789,50,-405.85275596401453,-405.85275596401453,51.32771876677447,51.32771876677447
A2C,서대문구,123,-139.25862312292162,50,-156.13334407226853,-156.13334407226853,-16.87472094934691,-16.87472094934691
A2C,서대문구,42,-139.25862312292162,50,-156.55933984942737,-171.1821142047427,-17.300716726505755,-31.923491081821084
A2C,서대문구,777,-139.25862312292162,50,-156.66068204043435,-156.66068204043435,-17.402058917512733,-17.402058917512733
A2C,성북구,123,-102.0627157134765,150,-116.3110216393247,-116.3110216393247,-14.248305925848186,-14.248305925848186
A2C,성북구,42,-102.0627157134765,50,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062
A2C,성북구,777,-102.0627157134765,50,-116.52647151591296,-116.52647151591296,-14.463755802436452,-14.463755802436452
A2C,송파구,123,-1225.7996363883465,100,-1177.6598711897827,-1177.6598711897827,48.13976519856374,48.13976519856374
A2C,송파구,42,-1225.7996363883465,50,-1173.8190562112452,-1302.241342642211,51.980580177101274,-76.4417062538646
A2C,송파구,777,-1225.7996363883465,100,-1175.5297806576896,-1175.5297806576896,50.2698557306569,50.2698557306569
A2C,양천구,123,-1083.3153729974601,100,-1031.4124474422142,-1031.4124474422142,51.90292555524593,51.90292555524593
A2C,양천구,42,-1083.3153729974601,100,-1030.507725274065,-1030.507725274065,52.80764772339512,52.80764772339512
A2C,양천구,777,-1083.3153729974601,350,-1106.0643552340814,-1106.0643552340814,-22.74898223662126,-22.74898223662126
A2C,영등포구,123,-1896.9705988373582,250,-1841.3725521976355,-1913.2588447364046,55.598046639722725,-16.288245899046387
A2C,영등포구,42,-1896.9705988373582,200,-1921.0341339667818,-1926.6365083549595,-24.0635351294236,-29.66590951760122
A2C,영등포구,777,-1896.9705988373582,450,-1939.7942682014038,-1942.0281380093134,-42.8236693640456,-45.05753917195511
A2C,중구,123,-182.61475511225203,100,-179.38658331826036,-179.38658331826036,3.228171793991663,3.228171793991663
A2C,중구,42,-182.61475511225203,100,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
A2C,중구,777,-182.61475511225203,50,-178.801532734415,-178.801532734415,3.813222377837036,3.813222377837036
REINFORCE,강서구,123,-2676.0772020562486,1,-2718.7920795374052,-2959.4927186088935,-42.71487748115669,-283.41551655264493
REINFORCE,강서구,42,-2676.0772020562486,400,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
REINFORCE,강서구,777,-2676.0772020562486,400,-2785.189967356067,-2840.2516214763573,-109.11276529981842,-164.17441942010873
REINFORCE,관악구,123,-73.94744718722015,50,-100.34813312663199,-136.55827552396224,-26.400685939411844,-62.61082833674209
REINFORCE,관악구,42,-73.94744718722015,300,-101.61908479101598,-102.50607422013448,-27.67163760379583,-28.55862703291433
REINFORCE,관악구,777,-73.94744718722015,50,-100.65806017932368,-100.65806017932368,-26.710612992103535,-26.710612992103535
REINFORCE,구로구,123,-609.5512092114152,1,-683.3778120715607,-712.19475400111,-73.8266028601455,-102.64354478969483
REINFORCE,구로구,42,-609.5512092114152,400,-596.3040738864104,-723.9972580329338,13.24713532500482,-114.44604882151862
REINFORCE,구로구,777,-609.5512092114152,200,-580.2846791220958,-676.1529919001244,29.266530089319417,-66.60178268870925
REINFORCE,노원구,123,-457.180474730789,1,-457.8882136504916,-488.40267048354355,-0.7077389197025923,-31.222195752754544
REINFORCE,노원구,42,-457.180474730789,500,-430.48561976414857,-430.48561976414857,26.694854966640435,26.694854966640435
REINFORCE,노원구,777,-457.180474730789,200,-405.85275596401453,-405.85275596401453,51.32771876677447,51.32771876677447
REINFORCE,서대문구,123,-139.25862312292162,50,-156.13289388603906,-171.8061548489256,-16.874270763117437,-32.54753172600397
REINFORCE,서대문구,42,-139.25862312292162,450,-156.54432004618602,-203.93618332504542,-17.285696923264396,-64.6775602021238
REINFORCE,서대문구,777,-139.25862312292162,300,-176.02295318059493,-186.18102253088068,-36.764330057673305,-46.92239940795906
REINFORCE,성북구,123,-102.0627157134765,50,-116.3110216393247,-116.3110216393247,-14.248305925848186,-14.248305925848186
REINFORCE,성북구,42,-102.0627157134765,150,-117.01647642312257,-136.3400443818728,-14.953760709646062,-34.27732866839628
REINFORCE,성북구,777,-102.0627157134765,150,-135.7968486921855,-135.7968486921855,-33.734132978709,-33.734132978709
REINFORCE,송파구,123,-1225.7996363883465,200,-1241.6432303867225,-1241.6432303867225,-15.843593998376036,-15.843593998376036
REINFORCE,송파구,42,-1225.7996363883465,1,-1289.2862656002887,-1380.8642110007584,-63.48662921194227,-155.0645746124119
REINFORCE,송파구,777,-1225.7996363883465,150,-1307.7888955115088,-1307.7888955115088,-81.98925912316236,-81.98925912316236
REINFORCE,양천구,123,-1083.3153729974601,200,-1031.4124474422142,-1031.4124474422142,51.90292555524593,51.90292555524593
REINFORCE,양천구,42,-1083.3153729974601,150,-1070.482643637123,-1142.6540263602276,12.832729360337225,-59.338653362767445
REINFORCE,양천구,777,-1083.3153729974601,1,-1030.8469127622966,-1032.3770946390962,52.46846023516355,50.93827835836396
