district,k,seed,baseline,best_reward,final_reward,best_delta,final_delta,best_step,n_eval_points
강남구,12,42,-350.3599508836934,-319.08191777567583,-359.0946562843991,31.278033108017553,-8.734705400705707,60000,9
강동구,12,42,-334.2573463233564,-328.115880224454,-350.75000534335277,6.141466098902413,-16.49265901999638,80000,9
강북구,12,42,-13.616036756349311,-14.21391456587778,-14.21391456587778,-0.5978778095284678,-0.5978778095284678,170000,9
강서구,12,42,-2676.077202056249,-2637.33981360554,-2819.7055900038126,38.737388450709204,-143.62838794756362,20000,9
관악구,12,42,-73.94744718722015,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182,120000,9
광진구,12,42,-591.597740357906,-578.4183411093633,-620.683503337478,13.179399248542722,-29.085762979571996,160000,9
구로구,12,42,-609.5512092114152,-582.2997940156424,-582.2997940156424,27.25141519577278,27.25141519577278,60000,9
금천구,12,42,-256.21739023640725,-249.10963919790441,-249.10963919790441,7.10775103850284,7.10775103850284,170000,9
노원구,12,42,-457.180474730789,-403.89624216576107,-404.23361245537643,53.284232565027935,52.94686227541257,80000,9
도봉구,12,42,-82.2353194406718,-87.71972471744401,-87.71972471744401,-5.484405276772208,-5.484405276772208,80000,9
동대문구,12,42,-321.128317502743,-354.0261220318434,-415.848559084249,-32.89780452910037,-94.720241581506,160000,9
동작구,12,42,-97.78108169902266,-103.00469777177672,-103.00469777177672,-5.223616072754055,-5.223616072754055,80000,9
마포구,12,42,-490.3667980298629,-445.7524071909575,-445.7524071909575,44.614390838905365,44.614390838905365,100000,9
서대문구,12,42,-139.25862312292162,-156.40482103806724,-156.55933984942737,-17.14619791514562,-17.300716726505755,160000,9
서초구,12,42,-173.73157119184765,-146.65592662612332,-183.88959550086645,27.075644565724332,-10.1580243090188,40000,9
성동구,12,42,-594.8518857697841,-578.1659942104517,-587.9594984517635,16.68589155933239,6.89238731802061,160000,9
성북구,12,42,-102.0627157134765,-117.01647642312257,-117.01647642312257,-14.953760709646062,-14.953760709646062,40000,9
송파구,12,42,-1225.7996363883465,-1173.8190562112452,-1227.8373932313484,51.980580177101274,-2.0377568430019437,20000,9
양천구,12,42,-1083.31537299746,-1187.4359692946832,-1278.5892894140036,-104.1205962972233,-195.27391641654367,80000,9
영등포구,12,42,-1896.9705988373585,-1940.92097463512,-2053.937230300504,-43.95037579776158,-156.9666314631454,20000,9
용산구,12,42,-66.89860792865139,-70.73815758080657,-70.73815758080657,-3.839549652155185,-3.839549652155185,40000,9
은평구,12,42,-150.21607343804496,-159.64904704306792,-159.64904704306792,-9.432973605022966,-9.432973605022966,60000,9
종로구,12,42,-268.2836955125016,-263.55095254341325,-263.55095254341325,4.732742969088349,4.732742969088349,40000,9
중구,12,42,-182.61475511225203,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772,170000,9
중랑구,12,42,-161.6356754974581,-154.52503580371442,-154.79780983421009,7.110639693743678,6.83786566324801,160000,9
