district,seed,mean_abs_eval_delta_change,max_abs_eval_delta_change,first_eval_delta,final_eval_delta,best_eval_delta,best_final_gap,mean_approx_kl,max_approx_kl,mean_clip_fraction,max_clip_fraction,first_entropy_loss,final_entropy_loss,final_explained_variance
노원구,42,17.9173,39.0906,26.6949,37.8072,37.8072,0.0,0.0001,0.0004,0.0,0.0,-0.6334,-0.7199,0.9394
노원구,123,6.5617,26.2858,52.1328,52.0545,52.1328,0.0783,0.0003,0.0016,0.001,0.0094,-0.7848,-0.3226,0.3072
노원구,777,11.949,29.7086,27.1121,25.0551,27.4448,2.3897,0.0,0.0002,0.0,0.0,-0.9124,-0.8233,0.6709
동대문구,42,9.3172,21.5627,6.2621,5.1958,6.2621,1.0664,0.0,0.0001,0.0,0.0,-0.6903,-0.7397,0.5796
동대문구,123,4.2059,13.9306,-20.1575,1.6735,1.6735,0.0,0.0002,0.0004,0.0,0.0,-0.7632,-0.6659,0.7113
동대문구,777,1.2953,4.9983,5.8346,5.8346,5.8346,0.0,0.0001,0.0005,0.0,0.0,-1.0003,-0.2176,0.5849
마포구,42,9.2661,30.4661,44.6144,44.6144,44.6144,0.0,0.0001,0.0009,0.0,0.0,-0.7731,-0.679,0.4594
마포구,123,9.3818,22.0971,3.3496,45.8745,45.8745,0.0,0.0,0.0002,0.0,0.0,-0.9083,-0.7678,0.5963
마포구,777,1.7572,6.8597,44.5681,44.5681,44.737,0.1689,0.0001,0.0005,0.0,0.0,-0.8216,-0.8196,0.5407
송파구,42,25.349,101.3959,51.9806,51.9806,51.9806,0.0,0.0,0.0001,0.0,0.0,-0.5362,-0.5666,0.7113
송파구,123,15.4182,62.1381,35.6506,48.0675,48.1122,0.0447,0.0,0.0001,0.0,0.0,-1.0051,-0.6942,0.7322
송파구,777,4.661,30.162,10.2522,-18.244,12.5726,30.8166,0.0001,0.0003,0.0,0.0,-0.9816,-0.8132,0.8453
양천구,42,0.8636,6.4098,18.7433,12.8327,18.7433,5.9105,0.0004,0.0029,0.0076,0.0672,-0.6085,-0.5025,0.9067
양천구,123,19.2968,67.8874,-26.3585,50.0519,50.0519,0.0,0.0,0.0001,0.0,0.0,-0.8305,-0.5343,0.9142
양천구,777,12.1756,33.2694,27.5714,-12.0233,38.1504,50.1737,0.0,0.0001,0.0,0.0,-0.873,-0.567,0.8591
영등포구,42,14.5766,31.5398,17.7693,25.1161,51.4057,26.2896,0.0004,0.0033,0.0079,0.0711,-0.8181,-0.7734,0.2854
영등포구,123,4.246,19.1029,28.9928,48.3095,53.527,5.2175,0.0,0.0002,0.0,0.0,-0.8517,-1.0293,0.022
영등포구,777,7.5676,13.5431,0.177,13.8981,37.308,23.4099,0.0,0.0,0.0,0.0,-0.9647,-0.6556,0.4792
