district,k,seed,baseline,best_reward,final_reward,best_delta,final_delta,best_step,n_eval_points
노원구,3,42,-457.180474730789,-419.37322754155105,-419.37322754155105,37.807247189237955,37.807247189237955,170000,9
노원구,3,123,-457.180474730789,-405.0476685030248,-405.12600253601073,52.132806227764206,52.05447219477827,20000,9
노원구,3,777,-457.180474730789,-429.7356709839901,-432.12538550053375,27.444803746798925,25.05508923025525,100000,9
동대문구,3,42,-321.128317502743,-314.8661891278425,-315.93255617540524,6.262128374900499,5.195761327337777,20000,9
동대문구,3,123,-321.128317502743,-319.45480103152767,-319.45480103152767,1.6735164712153505,1.6735164712153505,170000,9
동대문구,3,777,-321.128317502743,-315.29366871271384,-315.29366871271384,5.834648790029178,5.834648790029178,20000,9
마포구,3,42,-490.3667980298629,-445.7524071909575,-445.7524071909575,44.614390838905365,44.614390838905365,20000,9
마포구,3,123,-490.3667980298629,-444.4922915440856,-444.4922915440856,45.87450648577726,45.87450648577726,170000,9
마포구,3,777,-490.3667980298629,-445.6297512443205,-445.79867892571855,44.73704678554236,44.56811910414433,160000,9
송파구,3,42,-1225.7996363883465,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274,20000,9
송파구,3,123,-1225.7996363883465,-1177.6874456205528,-1177.7321590937843,48.11219076779366,48.067477294562195,120000,9
송파구,3,777,-1225.7996363883465,-1213.2270098996514,-1244.0436242393134,12.57262648869505,-18.24398785096696,40000,9
양천구,3,42,-1083.31537299746,-1064.5721203170017,-1070.482643637123,18.743252680458227,12.832729360336998,20000,9
양천구,3,123,-1083.31537299746,-1033.2634579697528,-1033.2634579697528,50.05191502770708,50.05191502770708,170000,9
양천구,3,777,-1083.31537299746,-1045.1649925474194,-1095.3387133063252,38.15038045004053,-12.023340308865272,40000,9
영등포구,3,42,-1896.9705988373585,-1845.5648964789798,-1871.8544673099943,51.405702358378676,25.116131527364132,80000,9
영등포구,3,123,-1896.9705988373585,-1843.443558052105,-1848.6610938289823,53.527040785253575,48.30950500837616,100000,9
영등포구,3,777,-1896.9705988373585,-1859.662615007738,-1883.0725383921115,37.307983829620525,13.898060445246983,100000,9
