district,k,baseline,best_reward,final_reward,best_delta,final_delta,best_step,n_eval_points
노원구,3,-457.180474730789,-419.37322754155105,-419.37322754155105,37.807247189237955,37.807247189237955,170000,9
동대문구,3,-321.128317502743,-314.8661891278425,-315.93255617540524,6.262128374900499,5.195761327337777,20000,9
마포구,3,-490.3667980298629,-445.7524071909575,-445.7524071909575,44.614390838905365,44.614390838905365,20000,9
송파구,3,-1225.7996363883465,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274,20000,9
양천구,3,-1083.31537299746,-1064.5721203170017,-1070.482643637123,18.743252680458227,12.832729360336998,20000,9
영등포구,3,-1896.9705988373585,-1845.5648964789798,-1871.8544673099943,51.405702358378676,25.116131527364132,80000,9
노원구,6,-457.180474730789,-402.5367608814191,-502.27770756838,54.643713849369874,-45.09723283759098,140000,9
동대문구,6,-321.128317502743,-314.8661891278425,-314.8661891278425,6.262128374900499,6.262128374900499,120000,9
마포구,6,-490.3667980298629,-445.7524071909575,-445.7524071909575,44.614390838905365,44.614390838905365,20000,9
송파구,6,-1225.7996363883465,-1173.7736425019189,-1173.7736425019189,52.025993886427614,52.025993886427614,170000,9
양천구,6,-1083.31537299746,-1030.6455641623654,-1059.580704391559,52.6698088350945,23.73466860590088,20000,9
영등포구,6,-1896.9705988373585,-1868.520099856498,-1925.7237729777153,28.450498980860402,-28.753174140356805,20000,9
노원구,9,-457.180474730789,-404.23361245537643,-404.29940317636806,52.94686227541257,52.88107155442094,160000,9
동대문구,9,-321.128317502743,-314.8661891278425,-317.08537019829373,6.262128374900499,4.042947304449285,120000,9
마포구,9,-490.3667980298629,-546.9421540446838,-554.2657554071894,-56.5753560148209,-63.89895737732655,80000,9
송파구,9,-1225.7996363883465,-1303.852986613222,-1393.2112080376808,-78.05335022487543,-167.4115716493343,40000,9
양천구,9,-1083.31537299746,-1030.507725274065,-1030.507725274065,52.80764772339489,52.80764772339489,120000,9
영등포구,9,-1896.9705988373585,-1889.321401879441,-1889.321401879441,7.649196957917411,7.649196957917411,80000,9
노원구,12,-457.180474730789,-403.89624216576107,-404.23361245537643,53.284232565027935,52.94686227541257,80000,9
동대문구,12,-321.128317502743,-354.0261220318434,-415.848559084249,-32.89780452910037,-94.720241581506,160000,9
마포구,12,-490.3667980298629,-445.7524071909575,-445.7524071909575,44.614390838905365,44.614390838905365,100000,9
송파구,12,-1225.7996363883465,-1173.8190562112452,-1227.8373932313484,51.980580177101274,-2.0377568430019437,20000,9
양천구,12,-1083.31537299746,-1187.4359692946832,-1278.5892894140036,-104.1205962972233,-195.27391641654367,80000,9
영등포구,12,-1896.9705988373585,-1940.92097463512,-2053.937230300504,-43.95037579776158,-156.9666314631454,20000,9
노원구,15,-457.180474730789,-537.4730304204058,-537.4730304204058,-80.29255568961685,-80.29255568961685,170000,9
동대문구,15,-321.128317502743,-340.23595015311724,-340.23595015311724,-19.107632650374228,-19.107632650374228,120000,9
마포구,15,-490.3667980298629,-445.7525997328209,-445.7525997328209,44.61419829704198,44.61419829704198,170000,9
송파구,15,-1225.7996363883465,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274,170000,9
양천구,15,-1083.31537299746,-1079.1940883973382,-1079.1940883973382,4.121284600121726,4.121284600121726,170000,9
영등포구,15,-1896.9705988373585,-1926.299044161502,-2010.6877911784638,-29.32844532414356,-113.71719234110537,20000,9
