district,baseline,a2c_best_delta,a2c_final_delta,a2c_best_ep,reinforce_best_delta,reinforce_final_delta,reinforce_best_ep,winner
강남구,-350.3599508836934,31.278033108017553,31.278033108017553,100,31.278033108017553,31.278033108017553,200,Tie
강동구,-334.2573463233564,6.141466098902413,6.141466098902413,50,6.141466098902413,6.141466098902413,450,Tie
강북구,-13.616036756349311,-0.5981457752111865,-2.1734288485975117,50,-0.5981457752111865,-0.8248431344115605,100,REINFORCE(Final)
강서구,-2676.077202056249,38.73738845070875,38.73738845070875,50,38.73738845070875,38.73738845070875,400,Tie
관악구,-73.94744718722015,-26.525966152146182,-26.525966152146182,50,-27.67163760379583,-28.55862703291433,300,A2C
광진구,-591.597740357906,19.661024705832915,19.661024705832915,100,19.661024705832915,19.661024705832915,300,Tie
구로구,-609.5512092114152,27.25141519577278,27.25141519577278,200,13.24713532500482,-114.44604882151862,400,A2C
금천구,-256.21739023640725,7.10775103850284,7.10775103850284,50,7.10775103850284,7.10775103850284,100,Tie
노원구,-457.180474730789,52.94686227541257,-11.317906834822791,50,26.694854966640435,26.694854966640435,500,A2C
도봉구,-82.2353194406718,-5.484405276772208,-5.484405276772208,150,-5.484405276772208,-5.484405276772208,150,Tie
동대문구,-321.128317502743,6.262128374900499,6.262128374900499,50,-10.528063329959425,-19.107632650374228,300,A2C
동작구,-97.78108169902266,-5.223616072754055,-17.5463999910654,200,-5.223616072754055,-5.223616072754055,300,REINFORCE(Final)
마포구,-490.3667980298629,44.614390838905365,44.614390838905365,100,44.614390838905365,44.13798096886785,400,A2C(Final)
서대문구,-139.25862312292162,-17.300716726505755,-31.923491081821084,50,-17.285696923264396,-64.6775602021238,450,A2C(Final)
서초구,-173.73157119184765,27.075644565724332,-22.24223255227764,50,26.471039437158453,26.471039437158453,500,A2C
성동구,-594.8518857697841,16.68589155933239,-7.516255284254726,100,16.68589155933239,-46.762379002191096,50,A2C(Final)
성북구,-102.0627157134765,-14.953760709646062,-14.953760709646062,50,-14.953760709646062,-34.27732866839628,150,A2C(Final)
송파구,-1225.7996363883465,51.980580177101274,-76.4417062538646,50,-63.48662921194227,-155.0645746124119,1,A2C
양천구,-1083.31537299746,52.80764772339512,52.80764772339512,100,12.832729360337224,-59.338653362767445,150,A2C
영등포구,-1896.9705988373585,-24.0635351294236,-29.66590951760122,200,-24.183087684320753,-24.183087684320753,500,A2C
용산구,-66.89860792865139,-3.839549652155185,-3.839549652155185,50,-3.839549652155185,-3.839549652155185,100,Tie
은평구,-150.21607343804496,-9.128185509129397,-9.432973605022966,150,-47.207875286366175,-112.69082145337704,100,A2C
종로구,-268.2836955125016,4.732742969088349,4.732742969088349,100,4.732742969088349,4.732742969088349,400,Tie
중구,-182.61475511225203,3.2502336316145772,3.2502336316145772,100,-29.510032359164143,-78.2997801201569,200,A2C
중랑구,-161.6356754974581,7.027026592524521,7.027026592524521,100,7.027026592524521,-53.36143747676723,350,A2C(Final)
